subID,trial,responseTime,trueTime,ansTime,condition,index
22,16,2016-04,2017-04,2017-08,Possible Future,4
22,17,2016-04,2017-02,2017-03,Possible Future,1
22,18,2016-04,2019-12,2018-12,Possible Future,-12
23,1,2016-04,2011-05,2011-03,Memory,2
23,2,2016-04,2015-06,2015-06,Memory,0
23,3,2016-04,2009-06,2009-05,Memory,-1
23,4,2016-04,2015-04,2015-04,Memory,0
23,5,2016-04,2008-08,2008-09,Memory,1
23,6,2016-04,2007-03,2007-02,Memory,-1
23,7,2016-04,2006-08,2007-08,Possible Past,12
23,8,2016-04,2006-01,2006-03,Possible Past,2
23,9,2016-04,2015-07,2015-09,Possible Past,2
23,10,2016-04,2015-12,2015-12,Possible Past,0
23,11,2016-04,2013-12,2013-09,Possible Past,-3
23,12,2016-04,2015-01,2015-01,Possible Past,0
23,13,2016-04,2018-01,2018-01,Possible Future,0
23,14,2016-04,2017-06,2016-07,Possible Future,-12
23,15,2016-04,2016-09,2017-10,Possible Future,13
23,16,2016-04,2017-01,2017-02,Possible Future,1
23,17,2016-04,2018-06,2020-09,Possible Future,27
23,18,2016-04,2016-07,2016-07,Possible Future,0
24,1,2016-04,2015-05,2015-05,Memory,0
24,2,2016-04,2016-03,2016-03,Memory,0
24,3,2016-04,2016-04,2016-04,Memory,0
24,4,2016-04,2015-07,2015-07,Memory,0
24,5,2016-04,2016-04,2016-04,Memory,0
24,6,2016-04,2016-04,2016-04,Memory,0
24,7,2016-04,2013-03,2013-03,Possible Past,0
24,8,2016-04,2015-04,2015-04,Possible Past,0
24,9,2016-04,2016-02,2016-02,Possible Past,0
24,10,2016-04,2015-08,2015-06,Possible Past,0
24,11,2016-04,2014-06,2014-07,Possible Past,0
24,12,2016-04,2015-06,2015-06,Possible Past,0
24,13,2016-04,2016-04,2016-03,Possible Future,-1
24,14,2016-04,2016-05,2016-05,Possible Future,0
24,15,2016-04,2019-05,2022-03,Possible Future,36
24,16,2016-04,2016-04,NA,Possible Future,
24,17,2016-04,2016-04,2016-04,Possible Future,0
24,18,2016-04,2016-04,2016-04,Possible Future,0
25,1,2016-04,2011-10,2010-11,Memory,-11
25,2,2016-04,2011-11,2009-09,Memory,-25
25,3,2016-04,2010-11,2010-10,Memory,-1
25,4,2016-04,2010-05,2011-04,Memory,-11
25,5,2016-04,2011-05,2011-05,Memory,0
25,6,2016-04,2009-08,2010-08,Memory,12
25,7,2016-04,2007-01,2008-05,Possible Past,17
25,8,2016-04,2015-08,2010-07,Possible Past,-61
25,9,2016-04,2015-03,2010-04,Possible Past,-59
25,10,2016-04,2012-10,2012-08,Possible Past,-3
25,11,2016-04,2008-12,2008-11,Possible Past,-1
25,12,2016-04,2012-04,2012-03,Possible Past,0
25,13,2016-04,2017-05,2016-03,Possible Future,-14
25,14,2016-04,2016-09,2017-09,Possible Future,12
25,15,2016-04,2020-07,2019-07,Possible Future,12
25,16,2016-04,2017-07,2019-06,Possible Future,23
25,17,2016-04,2025-01,2019-02,Possible Future,-71
25,18,2016-04,2016-05,2017-05,Possible Future,12
26,1,2016-04,2013-01,2013-01,Memory,0
26,2,2016-04,2016-03,2016-04,Memory,1
26,3,2016-04,2012-03,2012-03,Memory,0
26,4,2016-04,2011-03,2011-03,Memory,0
26,5,2016-04,2010-11,2009-11,Memory,-12
26,6,2016-04,2009-06,2009-01,Memory,0
26,7,2016-04,2014-05,2015-05,Possible Past,12
26,8,2016-04,2014-05,2014-05,Possible Past,0
26,9,2016-04,2009-06,2010-01,Possible Past,12
26,10,2016-04,2014-09,2014-08,Possible Past,-1
26,11,2016-04,2014-08,2013-08,Possible Past,-12
26,12,2016-04,2012-10,2011-06,Possible Past,-16
26,13,2016-04,2016-08,2016-08,Possible Future,0
26,14,2016-04,2018-12,2019-12,Possible Future,12
26,15,2016-04,2020-02,2019-01,Possible Future,-11
26,16,2016-04,2021-09,2021-09,Possible Future,0
26,17,2016-04,2026-12,2021-12,Possible Future,-60
26,18,2016-04,2018-06,2016-08,Possible Future,-22
27,1,2016-04,2015-02,2015-02,Memory,0
27,2,2016-04,2014-05,2014-05,Memory,0
27,3,2016-04,2015-07,2015-07,Memory,0
27,4,2016-04,2011-06,2011-06,Memory,0
27,5,2016-04,2012-03,2012-03,Memory,0
27,6,2016-04,2010-06,2009-06,Memory,-12
27,7,2016-04,2008-09,2009-09,Possible Past,12
27,8,2016-04,2010-05,2011-01,Possible Past,9
27,9,2016-04,2014-08,2017-03,Possible Past,30
27,10,2016-04,2015-03,2015-10,Possible Past,7
27,11,2016-04,201-09,NA,Possible Past,
27,12,2016-04,2009-07,2009-07,Possible Past,0
27,13,2016-04,2016-12,2017-12,Possible Future,12
27,14,2016-04,2023-12,2020-12,Possible Future,-36
27,15,2016-04,2021-10,2018-07,Possible Future,-33
27,16,2016-04,2016-08,2016-08,Possible Future,0
27,17,2016-04,2021-11,2021-07,Possible Future,-4
27,18,2016-04,2017-03,2017-02,Possible Future,-1
28,1,2016-04,2015-07,2012-06,Memory,-31
28,2,2016-04,2015-08,2015-08,Memory,0
28,3,2016-04,2015-05,2015-05,Memory,0
28,4,2016-04,2015-09,2010-09,Memory,-60
28,5,2016-04,2015-10,2016-02,Memory,8
28,6,2016-04,2015-06,2015-07,Memory,1
28,7,2016-04,2012-09,NA,Possible Past,
28,8,2016-04,2012-12,2010-05,Possible Past,31
28,9,2016-04,2012-11,2013-04,Possible Past,5
28,10,2016-04,2012-10,2010-02,Possible Past,-32
28,11,2016-04,2012-08,2013-08,Possible Past,12
28,12,2016-04,2012-07,2010-05,Possible Past,-26
28,13,2016-04,2016-12,NA,Possible Future,
28,14,2016-04,2016-11,NA,Possible Future,
28,15,2016-04,2017-02,NA,Possible Future,
28,16,2016-04,2017-01,NA,Possible Future,
28,17,2016-04,2017-03,NA,Possible Future,
28,18,2016-04,2017-04,NA,Possible Future,
29,1,2016-04,2016-01,2016-01,Memory,0
29,2,2016-04,2015-12,2015-012,Memory,0
